Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Non-Cash Items;Change in Working Capital;Change in Accounts Receivable;Change in Inventories;Change in Accounts Payable;Change in Other;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Long Term Investment;Net Cash from Acquisitions & Divestitures;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Net Change in Cash
A;45846;USD;2018;FY;2018-10-31;2018-12-20;2020-12-18;321000000;325000000;316000000;210000000;90000000;471000000;-65000000;-83000000;40000000;579000000;1087000000;-176000000;;-516000000;-705000000;-191000000;-210000000;-366000000;-797000000;-432000000
A;45846;USD;2019;FY;2019-10-31;2019-12-19;2021-12-17;314000000;318000000;1071000000;238000000;-152000000;-136000000;-106000000;-36000000;29000000;-23000000;1021000000;-155000000;;-1408000000;-1590000000;-206000000;600000000;-669000000;-299000000;-866000000
A;45846;USD;2020;FY;2020-10-31;2020-12-18;2022-12-21;309000000;312000000;719000000;308000000;220000000;-326000000;;;;;921000000;-118000000;;;-147000000;-222000000;-45000000;-409000000;-717000000;59000000
A;45846;USD;2021;FY;2021-10-31;2021-12-17;2023-12-20;305000000;307000000;1210000000;321000000;56000000;-102000000;;;;;1485000000;-187000000;12000000;-547000000;-749000000;-236000000;356000000;-733000000;-696000000;43000000
A;45846;USD;2022;FY;2022-10-31;2022-12-21;2023-12-20;304000000;307000000;1254000000;317000000;219000000;-478000000;;;;;1312000000;-291000000;22000000;-52000000;-338000000;-250000000;26000000;-1081000000;-1372000000;-434000000
A18;1253413;USD;2018;FY;2018-12-31;2019-03-15;2021-03-15;68403426;70924623;1096000000;546000000;3350000000;2123000000;;;;;7115000000;-708000000;-4387000000;-1197000000;-14356000000;;14431000000;677000000;12204000000;5782000000
A18;1253413;USD;2019;FY;2019-12-31;2020-04-09;2022-04-27;70983996;80244014;6998000000;656000000;-603000000;282000000;;;;;7333000000;-834000000;-15834000000;-413000000;-1549000000;;-1090000000;467000000;-10120000000;-4027000000
A18;1253413;USD;2020;FY;2020-12-31;2021-03-15;2023-03-27;70983996;80244014;-3269000000;790000000;5590000000;-6934000000;;;;;-3823000000;-532000000;-9770000000;-3051000000;-6001000000;;18253000000;159000000;8205000000;-2332000000
A18;1253413;USD;2021;FY;2021-12-31;2022-04-27;2023-03-27;70983996;80244014;-645000000;723000000;2220000000;177000000;;;;;2475000000;-571000000;-6818000000;-365000000;-3419000000;;1709000000;8291000000;3190000000;1781000000
A18;1253413;USD;2022;FY;2022-12-31;2023-03-27;2023-03-27;70983996;80244014;1367000000;632000000;1442000000;-800000000;;;;;2641000000;-498000000;-12258000000;-121000000;803000000;;-5216000000;179000000;-6384000000;-2709000000
A21;1333027;USD;2019;FY;2019-12-31;2020-03-09;2022-04-19;;;-2417874000;116391000;672729000;-153561000;;;;;-1793710000;-951253000;-98000000;-560000000;-2574836000;;401357000;5156924000;5655690000;1340866000
A21;1333027;USD;2020;FY;2020-12-31;2021-03-10;2023-04-21;;;-24055773;46508505;-12047157;294096940;;;;;304523958;-97749057;-9417727;-5135993;-2564477341;;533920965;3046365362;3580286327;1265761414
A21;1333027;USD;2021;FY;2021-12-31;2022-04-19;2023-04-21;;;-321455000;590397000;1506777000;5256370000;;;;;7032089000;-3444535000;;-67580000;-2385830000;;16145206000;1209000;16146415000;20320545000
A21;1333027;USD;2022;FY;2022-12-31;2023-04-21;2023-04-21;;;-2032348000;1213855000;3163350000;4355923000;;;;;6700780000;-5123371000;-713775000;2094000;-3685175000;;5542664000;6728000;5639392000;9925094000
AA;367153;USD;2018;FY;2018-12-31;2019-02-26;2021-02-25;186000000;189000000;893000000;733000000;-356000000;-822000000;;;;;448000000;-399000000;-7000000;1000000;-405000000;;425000000;-27000000;-288000000;-249000000
AA;367153;USD;2019;FY;2019-12-31;2020-02-21;2022-02-24;185000000;185000000;-853000000;713000000;1091000000;-265000000;;;;;686000000;-379000000;-112000000;23000000;-468000000;;-7000000;2000000;-444000000;-233000000
AA;367153;USD;2020;FY;2020-12-31;2021-02-25;2023-02-23;186000000;186000000;-14000000;653000000;-221000000;-24000000;;;;;394000000;-353000000;-12000000;198000000;-167000000;;738000000;1000000;514000000;727000000
