Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Administrative;Research & Development;Depreciation & Amortization;Operating Income (Loss);Non-Operating Income (Loss);Interest Expense, Net;Pretax Income (Loss), Adj.;Abnormal Gains (Losses);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
A;45846;USD;2018;FY;2018-10-31;2018-12-20;2020-12-18;321000000;325000000;4914000000;-2234000000;2680000000;-1776000000;-1389000000;-387000000;;904000000;42000000;-37000000;946000000;;946000000;-630000000;316000000;;316000000;316000000
A;45846;USD;2019;FY;2019-10-31;2019-12-19;2021-12-17;314000000;318000000;5163000000;-2358000000;2805000000;-1864000000;-1460000000;-404000000;;941000000;-22000000;-38000000;919000000;;919000000;152000000;1071000000;;1071000000;1071000000
A;45846;USD;2020;FY;2020-10-31;2020-12-18;2022-12-21;309000000;312000000;5339000000;-2502000000;2837000000;-1991000000;-1496000000;-495000000;;846000000;-4000000;-70000000;842000000;;842000000;-123000000;719000000;;719000000;719000000
A;45846;USD;2021;FY;2021-10-31;2021-12-17;2023-12-20;305000000;307000000;6319000000;-2912000000;3407000000;-2060000000;-1619000000;-441000000;;1347000000;13000000;-79000000;1360000000;;1360000000;-150000000;1210000000;;1210000000;1210000000
A;45846;USD;2022;FY;2022-10-31;2022-12-21;2023-12-20;304000000;307000000;6848000000;-3126000000;3722000000;-2104000000;-1637000000;-467000000;;1618000000;-114000000;-75000000;1504000000;;1504000000;-250000000;1254000000;;1254000000;1254000000
A18;1253413;USD;2018;FY;2018-12-31;2019-03-15;2021-03-15;68403426;70924623;30965000000;-6324000000;24641000000;-22036000000;-12416000000;-9620000000;;2605000000;-684000000;391000000;1921000000;;1921000000;-793000000;1096000000;;1112000000;1112000000
A18;1253413;USD;2019;FY;2019-12-31;2020-04-09;2022-04-27;70983996;80244014;35666000000;-7372000000;28294000000;-23254000000;-12584000000;-10670000000;;5040000000;4047000000;417000000;9087000000;;9087000000;-1742000000;6998000000;;7055000000;7011000000
A18;1253413;USD;2020;FY;2020-12-31;2021-03-15;2023-03-27;70983996;80244014;18327000000;-4042000000;14285000000;-15708000000;-8041000000;-7667000000;;-1423000000;198000000;471000000;-1225000000;;-1225000000;-355000000;-3269000000;;-3207000000;-3247000000
A18;1253413;USD;2021;FY;2021-12-31;2022-04-27;2023-03-27;70983996;80244014;20029000000;-4604000000;15425000000;-16836000000;-7844000000;-8992000000;;-1411000000;940000000;567000000;-471000000;;-471000000;-270000000;-645000000;;-550000000;-550000000
A18;1253413;USD;2022;FY;2022-12-31;2023-03-27;2023-03-27;70983996;80244014;20055000000;-4529000000;15526000000;-15438000000;-7097000000;-8341000000;;88000000;2547000000;532000000;2635000000;;2635000000;-682000000;1367000000;;1403000000;1403000000
